Deutsch_grundform,spanisch_grundform
ab,a partir de
abbiegen,doblar
Abbildung,ilustración
Abenteuer,aventura
Aber,pero
abfahren,partir
Abfall,basura
Abfalleimer,papelera
Abgase,gases de escape
abgeben,entregar
abhängen,depender
abhängig,dependiente
abheben,sacar
abholen,recoger
Abitur,selectividad
ablehnen,rechazar
abmachen,acordar
abnehmen,quitar
abonnieren,suscribirse
Abonnement,suscripción
absagen,cancelar
Abschluss,final
Abschnitt,sección
Absicht,intención
absolut,absoluto
abstimmen,votar
Abteilung,departamento
Abwart,conserje
abwärts,hacia abajo
abwaschen,fregar
abwesend,ausente
achten,prestar atención
ähnlich,parecido
Alphabet,alfabeto
Aktion,acción
aktiv,activo
Aktivität,actividad
aktuell,actual
akzeptieren,aceptar
Alarm,alarma
all,todo
Allein,solo
Aller,el más
allerdings,sin embargo
Allgemein,general
Alltag,vida cotidiana
alltgäglich,cotidiano
als,que
obwohl,aunque
also,así que
alt,viejo
Altenheim,residencia de ancianos
Altersheim,residencia de ancianos
Alternative,alternativa
Amt,oficina
amüsieren,divertir
an,en
analysieren,analizar
anbieten,ofrecer
Anbieter,proveedor
ander,otro
andererseits,por otro lado
ändern,cambiar
Änderung,cambio
anders,diferente
anerkennen,reconocer
anfangen,empezar
anfangs,al principio
angeben,indicar
Angabe,indicación
Angehörige,familiar
angenehm,agradable
ängstlich,miedoso
anhaben,llevar puesto
anklicken,hacer clic
ankommen,llegar
ankündigen,anunciar
Anlage,instalación
Anleitung,instrucciones
anmelden,inscribirse
annehmen,aceptar
Annonce,anuncio
anrufen,llamar
Anrufbeantworter,contestador automático
anschaffen,comprar
anschließen,conectar
anschnallen,abrocharse el cinturón
ansehen,mirar
ansprechen,dirigirse a
Anspruch,derecho
anstellen,contratar
Angestellte,empleado
anstrengen,esforzar
anstrengend,agotador
Antrag,solicitud
anwenden,aplicar
anwesend,presente
antworten,responder
Anwalt,abogado
anzeigen,denunciar
anziehen,vestirse
Aprikose,albaricoque
arbeiten,trabajar
Arbeiter,obrero
Arbeitserlaubnis,permiso de trabajo
arbeitslos,desempleado
Arbeitslosigkeit,desempleo
Arbeitsstelle,puesto de trabajo
Architekt,arquitecto
ärgern,enfadar
Ärger,enfado
ärgerlich,fastidioso
arm,pobre
Asyl,asilo
atmen,respirar
Atem,respiración
auch,también
auf,en
Aufenthalt,estancia
auffallen,llamar la atención
auffordern,pedir
Aufforderung,petición
aufführen,representar
aufgeben,rendirse
aufhalten,detener
aufheben,recoger
aufhören,terminar
aufladen,cargar
auflösen,disolver
aufmerksam,atento
aufnehmen,grabar
Aufnahme,grabación
aufpassen,prestar atención
aufräumen,ordenar
aufregen,excitar
aufstehen,levantarse
Auftrag,encargo
auftreten,actuar
Auftritt,actuación
aufwachen,despertarse
aufwärts,hacia arriba
Augenblick,momento
aus,de
ausgebildet,formado
ausdrucken,imprimir
Ausdruck,expresión
Auseinander,separado
Ausfahrt,salida
ausfallen,cancelarse
ausfüllen,rellenar
Ausgabe,gasto
ausgeben,gastar
ausgehen,salir
ausgezeichnet,excelente
Aushilfe,ayudante
ausländisch,extranjero
ausmachen,apagar
Ausnahme,excepción
ausreichen,ser suficiente
ausreichend,suficiente
ausrichten,transmitir un recado
ausruhen,descansar
ausschließen,excluir
ausschließlich,exclusivamente
aussehen,parecer
außen,fuera
Außer,excepto
außerdem,además
außerhalb,fuera de
äußerlich,externo
Aussicht,vista
aussprechen,pronunciar
Aussprache,pronunciación
ausstellen,exponer
aussuchen,elegir
auswählen,elegir
Auswahl,selección
ausziehen,desvestirse
automatisch,automático
Autor,autor
backen,hornear
baden,bañarse
Badewanne,bañera
bald,pronto
Ballett,ballet
Bankleitzahl,código bancario
Bankomat,cajero automático
Bankomat-karte,tarjeta de cajero
bar,en efectivo
Bargeld,dinero en efectivo
Bart,barba
basteln,hacer manualidades
Batterie,pila
bauen,construir
Bau,construcción
Bauer,campesino
beachten,prestar atención
Beamte,funcionario
beantragen,solicitar
beantworten,responder
bedanken,agradecer
Bedarf,necesidad
bedeuten,significar
Bedeutung,significado
bedienen,atender
Bedienungsanleitung,instrucciones de uso
Bedingung,condición
beeilen,apresurarse
beenden,terminar
befinden,encontrar
befreit,liberado
befriedigend,satisfactorio
begegnen,encontrarse
begeistert,entusiasmado
beginnen,empezar
Beginn,comienzo
begleiten,acompañar
begrenzt,limitado
begründen,justificar
Begründung,justificación
begrüßen,saludar
behalten,quedarse
behandeln,tratar
behaupten,afirmar
behindern,obstaculizar
behindert,discapacitado
Behörde,autoridad
bei,en
beide,ambos
beinahe,casi
beißen,morder
Beitrag,contribución
