Deutsch_grundform,spanisch_grundform
Ab,desde
Aber,pero
abfahren,partir
Abfahrt,salida
abgeben,entregar
abholen,recoger
Absender,remitente
Achtung,atención
Adresse,dirección
Allein,solo
Also,entonces
alt,viejo
Alter,edad
An,en
anbieten,ofrecer
Angebot,oferta
Ander,otro
anfangen,empezar
Anfang,principio
anklicken,hacer clic
ankommen,llegar
Ankunft,llegada
ankreuzen,marcar con una cruz
anmachen,encender
anmelden,inscribirse
Anmeldung,inscripción
Anrede,tratamiento
anrufen,llamar por teléfono
Anruf,llamada
Anrufbeantworter,contestador automático
Ansage,anuncio
Anschluss,conexión
Ansein,estar encendido
antworten,responder
Antwort,respuesta
Anzeige,anuncio
anziehen,vestir
Apartment,apartamento
Apfel,manzana
Appetit,apetito
arbeiten,trabajar
Arbeit,trabajo
Arm,brazo
Arzt,médico
Auch,también
Auf,sobre
Aufgabe,tarea
aufhören,terminar
Aufsein,estar abierto
aufstehen,levantarse
Aufzug,ascensor
Auge,ojo
Aus,de
Ausflug,excursión
ausfüllen,rellenar
Ausgang,salida
Auskunft,información
Ausland,extranjero
Ausländer,extranjero
ausmachen,apagar
Aussage,declaración
aussehen,parecer
Aussein,estar apagado
aussteigen,bajar
Ausweis,documento de identidad
ausziehen,quitarse
Auto,coche
Autobahn,autopista
Automat,cajero automático
Baby,bebé
Bäckerei,panadería
Bad,baño
baden,bañarse
Bahn,tren
Bahnhof,estación de tren
Bahnsteig,andén
Bald,pronto
Balkon,balcón
Banane,plátano
Bank,banco
Bar,en efectivo
Bauch,vientre
Baum,árbol
bedeuten,significar
beginnen,empezar
Bei,en
Beide,ambos
Bein,pierna
Beispiel,ejemplo
bekannt,famoso
Bekannte,conocido
bekommen,recibir
benutzen,utilizar
Beruf,profesión
besetzt,ocupado
Besser,mejor
Best,mejor
bestellen,pedir
besuchen,visitar
Bett,cama
bezahlen,pagar
Bier,cerveza
Bild,imagen
billig,barato
Birne,pera
Bis,hasta
Bisschen,un poco
Bitte,por favor
bitten,pedir
Bitter,amargo
bleiben,quedarse
Bleistift,lápiz
Blick,vista
Blume,flor
Bogen,hoja
Böse,enfadado
brauchen,necesitar
breit,ancho
Brief,carta
Briefmarke,sello
bringen,traer
Brot,pan
Brötchen,panecillo
Bruder,hermano
Buch,libro
Buchstabe,letra
Bus,autobús
Butter,mantequilla
Café,cafetería
Chef,jefe
Circa,aproximadamente
Computer,ordenador
Da,ahí
Dame,señora
Daneben,al lado
danken,agradecer
Dank,agradecimiento
Danke,gracias
Dann,entonces
Datum,fecha
dauern,durar
Dein,tu
Denn,porque
Dich,te
Dies,este
Dir,te
Disco,discoteca
Doktor,doctor
Doppelzimmer,habitación doble
Dorf,pueblo
Dort,allí
Draußen,fuera
drucken,imprimir
Drucker,impresora
drücken,pulsar
Durch,a través de
Durchsage,anuncio
dürfen,poder
Durst,sed
duschen,ducharse
Dusche,ducha
Ecke,esquina
Ehefrau,esposa
Ehemann,esposo
Ei,huevo
eilig,con prisa
Ein,un
einfach,fácil
Eingang,entrada
einkaufen,ir de compras
einladen,invitar
Einladung,invitación
einmal,una vez
einsteigen,subir
Eintritt,entrada
Einzelzimmer,habitación individual
Eltern,padres
E-mail,correo electrónico
Empfänger,destinatario
empfehlen,recomendar
enden,terminar
Ende,final
entschuldigen,disculpar
Entschuldigung,disculpa
Er,él
erklären,explicar
erlauben,permitir
Erwachsene,adulto
erzählen,contar
Es,ello
essen,comer
Euer,vuestro
fahren,ir
Fahrer,conductor
Fahrkarte,billete
